,circuit_id,circuit_name,circuit_country
0,adelaide,Adelaide Street Circuit,Australia
1,ain-diab,Ain Diab,Morocco
2,aintree,Aintree,UK
3,albert_park,Albert Park Grand Prix Circuit,Australia
4,americas,Circuit of the Americas,USA
5,anderstorp,Scandinavian Raceway,Sweden
6,avus,AVUS,Germany
7,bahrain,Bahrain International Circuit,Bahrain
8,baku,Baku City Circuit,Azerbaijan
9,boavista,Circuito da Boavista,Portugal
10,brands_hatch,Brands Hatch,UK
11,bremgarten,Circuit Bremgarten,Switzerland
12,buddh,Buddh International Circuit,India
13,catalunya,Circuit de Barcelona-Catalunya,Spain
14,charade,Charade Circuit,France
15,dallas,Fair Park,USA
16,detroit,Detroit Street Circuit,USA
17,dijon,Dijon-Prenois,France
18,donington,Donington Park,UK
19,essarts,Rouen-Les-Essarts,France
20,estoril,Autódromo do Estoril,Portugal
21,fuji,Fuji Speedway,Japan
22,galvez,Autódromo Juan y Oscar Gálvez,Argentina
23,george,Prince George Circuit,South Africa
24,hockenheimring,Hockenheimring,Germany
25,hungaroring,Hungaroring,Hungary
26,imola,Autodromo Enzo e Dino Ferrari,Italy
27,indianapolis,Indianapolis Motor Speedway,USA
28,interlagos,Autódromo José Carlos Pace,Brazil
29,istanbul,Istanbul Park,Turkey
30,jacarepagua,Autódromo Internacional Nelson Piquet,Brazil
31,jarama,Jarama,Spain
32,jeddah,Jeddah Corniche Circuit,Saudi Arabia
33,jerez,Circuito de Jerez,Spain
34,kyalami,Kyalami,South Africa
35,las_vegas,Las Vegas Street Circuit,USA
36,lemans,Le Mans,France
37,long_beach,Long Beach,USA
38,losail,Losail International Circuit,Qatar
39,magny_cours,Circuit de Nevers Magny-Cours,France
40,marina_bay,Marina Bay Street Circuit,Singapore
41,miami,Miami International Autodrome,USA
42,monaco,Circuit de Monaco,Monaco
43,monsanto,Monsanto Park Circuit,Portugal
44,montjuic,Montjuïc,Spain
45,monza,Autodromo Nazionale di Monza,Italy
46,mosport,Mosport International Raceway,Canada
47,mugello,Autodromo Internazionale del Mugello,Italy
48,nivelles,Nivelles-Baulers,Belgium
49,nurburgring,Nürburgring,Germany
50,okayama,Okayama International Circuit,Japan
51,pedralbes,Circuit de Pedralbes,Spain
52,pescara,Pescara Circuit,Italy
53,phoenix,Phoenix street circuit,USA
54,portimao,Autódromo Internacional do Algarve,Portugal
55,red_bull_ring,Red Bull Ring,Austria
56,reims,Reims-Gueux,France
57,ricard,Circuit Paul Ricard,France
58,riverside,Riverside International Raceway,USA
59,rodriguez,Autódromo Hermanos Rodríguez,Mexico
60,sebring,Sebring International Raceway,USA
61,sepang,Sepang International Circuit,Malaysia
62,shanghai,Shanghai International Circuit,China
63,silverstone,Silverstone Circuit,UK
64,sochi,Sochi Autodrom,Russia
65,spa,Circuit de Spa-Francorchamps,Belgium
66,suzuka,Suzuka Circuit,Japan
67,tremblant,Circuit Mont-Tremblant,Canada
68,valencia,Valencia Street Circuit,Spain
69,vegas,Las Vegas Strip Street Circuit,United States
70,villeneuve,Circuit Gilles Villeneuve,Canada
71,watkins_glen,Watkins Glen,USA
72,yas_marina,Yas Marina Circuit,UAE
73,yeongam,Korean International Circuit,Korea
74,zandvoort,Circuit Park Zandvoort,Netherlands
75,zeltweg,Zeltweg,Austria
76,zolder,Zolder,Belgium
